lane,seed,completed_steps,zero_start_boundary,relation_norm,anchor_norm,consistency_norm,variance_norm,relation_anchor_cosine,relation_anchor_norm_ratio,relation_consistency_cosine,relation_variance_cosine,low_anchor_cosine,mid_anchor_cosine,high_anchor_cosine,step_in_rev1_operational_gate,zero_norm_cosine_semantics
MISAR_K7,1,20,False,0.01920287497341633,6.656757614109665e-05,5.209857931731676e-07,0.0,-0.6554427578790409,0.0034665421835662663,0.4982712492970237,,-0.5459247769728394,-0.6312284416490263,-0.583960939892936,True,NULL_NA_NOT_ZERO
MISAR_K7,1,40,False,0.05062304064631462,0.0004252879007253796,5.2431482799875084e-06,0.0,-0.7621984968456106,0.008401073805438053,0.5513021692582847,,-0.6488458455419057,-0.7643791027401935,-0.7019153949636083,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,0,0,True,0.0025915890000760555,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,0,1,False,0.0025922153145074844,1.152891741185158e-06,4.987513957388501e-09,0.0,-0.6928926125816778,0.0004447515353886431,0.2803034660164598,,-0.08309972778183368,-0.350244666439966,-0.6875306080881384,False,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,0,5,False,0.002676897682249546,6.276105068536708e-06,3.228149481060427e-08,0.0,-0.7001158317775971,0.002344544249917893,0.4207795735604177,,-0.08765318753806897,-0.3530510113110582,-0.6947053091691116,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,0,20,False,0.0036326157860457897,4.495757457334548e-05,5.877885200789024e-07,0.0,-0.6995551480051462,0.012376088532688765,0.659573216216938,,-0.11235737985443099,-0.3618707739269653,-0.6949406858218817,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,0,40,False,0.007864773273468018,0.0003947126097045839,6.995016065047821e-06,0.0,-0.7735362103913449,0.05018741112806842,0.7137873282858456,,-0.21267491772035402,-0.38020106016210714,-0.7748385043348712,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,1,0,True,0.002600140171125531,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,1,1,False,0.0026008307468146086,1.1933445875911275e-06,9.428993585913759e-09,0.0,-0.7037431977638889,0.00045883208242315934,0.6278328541957382,,-0.07352186584598487,-0.3786663467493873,-0.6962573883359713,False,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,1,5,False,0.0026959332171827555,6.603288966289256e-06,5.876245623426257e-08,0.0,-0.7157274682713215,0.0024493518326799205,0.6615343835066447,,-0.072867305469189,-0.38426822560560325,-0.7083499176542707,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,1,20,False,0.0038145878352224827,5.341600626707077e-05,6.285133054007019e-07,0.0,-0.7330519414481651,0.014003087246765501,0.6946133538883217,,-0.08762375435734349,-0.400690205630001,-0.7283967432286109,True,NULL_NA_NOT_ZERO
HUMAN_HIPPOCAMPUS_K7,1,40,False,0.009029023349285126,0.0005824790569022298,9.835651326284278e-06,0.0,-0.8225817057367193,0.06451185630706643,0.754371414924739,,-0.2266395549999307,-0.4359528996387374,-0.8248761575391668,True,NULL_NA_NOT_ZERO
PLACENTA_K10,0,0,True,0.002552355406805873,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
PLACENTA_K10,0,1,False,0.0025511819403618574,1.7127721321230638e-06,1.0876679112925558e-08,0.0,-0.7893914735569639,0.0006713641645958523,0.3825077202030825,,-0.3606430636943784,-0.3298865908613602,-0.7913116890868828,False,NULL_NA_NOT_ZERO
PLACENTA_K10,0,5,False,0.002654142677783966,9.279233381676022e-06,6.438749267090316e-08,0.0,-0.7826915186711907,0.0034961320879040195,0.4567804353577137,,-0.3529120790466619,-0.327238727729357,-0.7831250564243595,True,NULL_NA_NOT_ZERO
PLACENTA_K10,0,20,False,0.0037538420874625444,6.186598329804838e-05,5.170157919565099e-07,0.0,-0.7755825261102393,0.016480710124880997,0.7482062501464739,,-0.31993881738145424,-0.32875499712190775,-0.7692283597086355,True,NULL_NA_NOT_ZERO
PLACENTA_K10,0,40,False,0.006778568960726261,0.0004377902369014919,5.071376563137164e-06,0.0,-0.8489956085102276,0.06458446309803223,0.7801072503699055,,-0.307173418350558,-0.336939000735886,-0.8393901151771495,True,NULL_NA_NOT_ZERO
PLACENTA_K10,1,0,True,0.0024944241158664227,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
PLACENTA_K10,1,1,False,0.002493473934009671,1.6530558468730305e-06,6.966513588224643e-09,0.0,-0.827077342381654,0.0006629529285733528,0.4066422296227587,,-0.39718332276556345,-0.3844387499399425,-0.8260341257936556,False,NULL_NA_NOT_ZERO
PLACENTA_K10,1,5,False,0.0025786489713937044,8.892287041817326e-06,4.3358319601338735e-08,0.0,-0.8256044598817557,0.00344842866961114,0.5259517625644393,,-0.4015309881244269,-0.3826429165586006,-0.8227873477401666,True,NULL_NA_NOT_ZERO
PLACENTA_K10,1,20,False,0.0035602557472884655,5.8716079365694895e-05,5.457154088617244e-07,0.0,-0.814970475035578,0.016492095942942802,0.7064468937101557,,-0.353741209575516,-0.3470244018044909,-0.805468424464335,True,NULL_NA_NOT_ZERO
PLACENTA_K10,1,40,False,0.006800682283937931,0.000419525895267725,5.518495527212508e-06,0.0,-0.8624108664844807,0.061688794999080414,0.7825251804488959,,-0.2566738654425688,-0.2839846404880872,-0.853063517618173,True,NULL_NA_NOT_ZERO
