lane,seed,arm,run_id,ari,nmi,ami,fmi,min_cluster_size,cluster_sizes,partition_sha256,representation_sha256
HUMAN_HIPPOCAMPUS_K7,0,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.12891280649086256,0.1869376236949035,0.18365635770089142,0.2892076226212045,141,"[442,141,496,207,456,348,410]",58ab5247008ec34afd9c69c5660cd3daf76f77e0429e38570b70157a0b903aff,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6
HUMAN_HIPPOCAMPUS_K7,0,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,0,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,0,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S0,0.1867082476031167,0.2515409008981036,0.24839683320829153,0.34752845194086657,49,"[480,389,248,151,49,587,596]",5cf1c4b4fe66e7d8d2b5fe8660ab14ec4b72bb50fb421ab17778c8669920b421,aed1b67fae416aacdb380d1bd64a5f5a03f493519a4286b40a9a1591bb145dfd
HUMAN_HIPPOCAMPUS_K7,0,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S0,0.20961933782755815,0.2792051836720784,0.2761793678885168,0.3655412352487619,49,"[49,235,558,155,562,400,541]",93df68ea7013c7dbdfd43c9cc2fdb590f7e8119410660e9fb353dde4fe4f5960,665f390379c8c474f85ec0e3150e76cd5e6e4d469b05dcccee75e911d7a401ec
P22_K9,1,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3893208525073957,0.5784037483938195,0.5776923150201647,0.47587557030383065,708,"[1009,1491,1232,708,894,1604,711,736,811]",9f4d2239dd47e1d3c735ee2e6e6be9d8f1b0a91dc92be15b6148349f9fb530b9,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f
P22_K9,1,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,1,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,1,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S1,0.39182805083867206,0.5827308868545243,0.582026416205368,0.47813106602009614,706,"[796,881,1504,1254,988,1613,706,745,709]",5bf1cffca19eb1422b803fb2e8556eee2b057354140b1f7892cadf4bbd25c4df,433588a799df2c510d6c2e2d7ba86d48974a85c44e68a5698cdb81e88fe9042b
P22_K9,1,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S1,0.48049179863959424,0.6095026966331418,0.608839397214479,0.5560814237284499,718,"[718,1020,815,2217,747,909,770,1093,907]",a488b83c4bfda649c3257183196569fd0bbf59a7ac9250c7ab390ebd7631c694,20c947bb53ca401019a564de825d37978d0a391b76ccca00dd4ebfb887d890f6
MISAR_K7,1,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3611133493142985,0.5371715938517067,0.5347566088080864,0.4827788366729388,183,"[367,401,264,183,248,214,272]",3add99e4cdb08d99017e747da6c12dc0ea3151e551b5b0bc26997df0c8b2ecd6,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977
MISAR_K7,1,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,1,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,1,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S1,0.36209447588617266,0.5388510392186933,0.5364461415748303,0.4835094577719783,184,"[184,399,219,261,363,274,249]",8d4891e7cc491c51209cc583c18bf745ae04ea105767611afc3efe454e5e285a,0c70785e4a40efc81777d2fe0b886b8876232abbb64b510cd3e22388cf0f5db8
MISAR_K7,1,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S1,0.36365282022619144,0.5411619958836363,0.5387679258360452,0.4848655091357692,175,"[250,276,363,175,399,264,222]",bbc056deea40e48042e441c437a2214f0c3609f628adb6dc5494936b07eab75c,1e618ff366000eb79b02ac2a2c766d085b7dadc969710c6b18900f146ec0d50c
HUMAN_HIPPOCAMPUS_K7,1,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.12891280649086256,0.1869376236949035,0.18365635770089142,0.2892076226212045,141,"[442,141,496,207,456,348,410]",58ab5247008ec34afd9c69c5660cd3daf76f77e0429e38570b70157a0b903aff,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6
HUMAN_HIPPOCAMPUS_K7,1,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,1,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,1,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S1,0.18427865187419615,0.25007723774435037,0.24693836444956926,0.343859559513245,49,"[499,551,395,288,147,49,571]",95eae60b49692b29b6035293d08b378060a77f1e44f5cd2e74d03daa281ed20b,857e0c3adc1daac0c84a6772afdfae34425cbfef3627c43ea936ffb9ea4f3fac
HUMAN_HIPPOCAMPUS_K7,1,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S1,0.19396393419169655,0.27256729608478525,0.2695107884984327,0.3533790065186307,49,"[49,226,522,157,553,594,399]",f4595801a7922ee4e79eea3cb3513f32e0028c73de9f11ae26f0b43ab5b202f8,9ac3e6a954a9c6657f5906cb656963d09936f14bcabbc9a17b3e08ee7c2d65b0
P22_K9,2,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3893208525073957,0.5784037483938195,0.5776923150201647,0.47587557030383065,708,"[1009,1491,1232,708,894,1604,711,736,811]",9f4d2239dd47e1d3c735ee2e6e6be9d8f1b0a91dc92be15b6148349f9fb530b9,0c67c0eebbcea4da157ec7cab84026052137394bb2646c6db9516f63a6ecd74f
P22_K9,2,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,2,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3939005260086102,0.5847127109962361,0.5840118106458233,0.47987581633807175,706,"[1586,1501,1264,734,713,706,894,799,999]",613df5bc94428ac10b95c9e12b813654dd08e7335d07cf297ce791df8a22558f,d40843517bed7a57c3789506691c75ff39fa9c69fa4e7add6812a5ab00a63f15
P22_K9,2,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S2,0.3923472798160619,0.5835633254932256,0.5828602966848265,0.47857242665944566,706,"[803,1607,711,706,1263,738,983,883,1502]",c03429c2cdec7446bff6c49c8c932e5ad27d9beaf23ab03ac1dd0b69b5f35aae,ad5cd31b414d3130ca30443a16fbd8f023cee7a0eb9d3dcefbc26c80add0d6ed
P22_K9,2,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S2,0.4805237294664283,0.609690428035403,0.6090275727753398,0.5560781070704128,719,"[813,2210,909,719,750,1092,908,772,1023]",86b4f1280f6b2df46ceb306aae226c301d57263ce71aafc1d067e1529a03fcb8,bb85f651d518492695e7d8e6fa040c16833a1f779e6c902efac859147bc53942
MISAR_K7,2,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.3611133493142985,0.5371715938517067,0.5347566088080864,0.4827788366729388,183,"[367,401,264,183,248,214,272]",3add99e4cdb08d99017e747da6c12dc0ea3151e551b5b0bc26997df0c8b2ecd6,359216b6a6d78645e9c4a2988e87b365d84ed212ac85f70b0e4d5882c3bd3977
MISAR_K7,2,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,2,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.3601774063031095,0.5383578064348719,0.5359475698775771,0.4820722488075806,173,"[404,219,273,265,173,365,250]",d3987ed7153661937f3f1ace611b0eaeff8baabe1e14323315ba02ee79ae3fcd,14fd5e235cfd689b6698c55bf69fbea1b1b90bda93e9bc0e73c2330449dc66e0
MISAR_K7,2,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S2,0.3618113182028466,0.5374462793927582,0.5350331558383952,0.48334001722958075,187,"[400,368,212,187,261,273,248]",84baa0bfe8730a0b95c139746b82e4ec7bf44a191eee3ca62d1e22a63937c71f,d25251cbe45e7c3bf33cee1a810fd1da1a2600f86352cda9e64509fd184db886
MISAR_K7,2,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S2,0.36374662793287244,0.5414036527857915,0.5390113061024073,0.4849070305648683,174,"[174,398,224,263,278,360,252]",c072bfe4f537b3ac79461cf4da583491e3e22359753fa8da0471c8125a4fef0f,b7ff2e15b7c5b4dc4626bf8f4e4c598ea82d90a101d630234bcd31a023777a4c
HUMAN_HIPPOCAMPUS_K7,2,FROZEN_RETAINED,BASELINE__FROZEN_RETAINED,0.12891280649086256,0.1869376236949035,0.18365635770089142,0.2892076226212045,141,"[442,141,496,207,456,348,410]",58ab5247008ec34afd9c69c5660cd3daf76f77e0429e38570b70157a0b903aff,1f610ae69afd42cc985b452622b1367dfe851b9e6d6c4ad16a7ed8bf41bd0aa6
HUMAN_HIPPOCAMPUS_K7,2,RELATION_SMOOTH,BASELINE__UNBIASED_SMOOTH,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,2,ZERO_RESIDUAL,BASELINE__ZERO_RESIDUAL,0.19516105524843821,0.2712210274967669,0.26816611935240203,0.3533007602878385,49,"[161,544,436,230,512,568,49]",0bfb5a5452acad9c0cc6b12e68297ffbd96e13b13fc5b588cf9d9a2e133120c5,975c1ac3711087c9596a8253fb625e662b3826c422b1c6bec09dc9c2c5464c90
HUMAN_HIPPOCAMPUS_K7,2,PERMUTED_RELATION,Z01_CONSERVATIVE__PERMUTED_RELATION__S2,0.20097946725693788,0.27408089785310724,0.2710298205000202,0.3594830116133438,49,"[474,156,377,245,558,49,641]",ed704e4d182ffe67d74fc273fec9a36fd7574576aa33c5751ce58273047ccfbc,9b16485a4b5b24785cff0ad6a4fce6e6b93958b748b187848858d2e6bdf4c457
HUMAN_HIPPOCAMPUS_K7,2,Z01_FULL,Z01_CONSERVATIVE__UNBIASED_FULL__S2,0.19578290010059532,0.26030075432177247,0.2571913219125041,0.35509265769287346,49,"[487,573,225,49,605,157,404]",eabdcf9f7519755930b270cd159b1135093a22ef806c155790ae047032ae81e3,d516347c6a5e5910589747fbb56fa849c8a676968a9253a4564b6d762b90de11
