panel_index,canonical_identifier,P10S1_raw_target,P10S2_raw_target,P10S3_raw_target,ensembl_gene_id,chrom,start_1based,end_1based,strand
42,Itga2b,CD41,CD41,CD41,ENSMUSG00000034664,chr11,102453297,102470122,-
43,Itga4,CD49d,CD49d,CD49d,ENSMUSG00000027009,chr2,79255426,79333123,+
44,Itga6,CD49f,CD49f,CD49f,ENSMUSG00000027111,chr2,71745616,71858416,+
45,Itgae,CD103,CD103,CD103,ENSMUSG00000005947,chr11,73090583,73147446,+
46,Itgal,CD11a,CD11a,CD11a,ENSMUSG00000030830,chr7,127296260,127335137,+
47,Itgam,CD11b,CD11b,CD11b,ENSMUSG00000030786,chr7,128062640,128128160,+
48,Itgav,CD51,CD51,CD51,ENSMUSG00000027087,chr2,83724397,83806916,+
49,Itgax,CD11c,CD11c,CD11c,ENSMUSG00000030789,chr7,128129547,128150656,+
50,Klra4,Ly49D,Ly49D,Ly49D,ENSMUSG00000079852,chr6,130043731,130067271,-
51,Klrc1,CD159a,CD159a,CD159a,ENSMUSG00000030167,chr6,129666015,129678973,-
52,Klrd1,CD94,CD94,CD94,ENSMUSG00000030165,chr6,129591782,129598775,+
53,Klrg1,KLRG1,KLRG1,KLRG1,ENSMUSG00000030114,chr6,122270596,122282882,-
54,Lag3,CD223,CD223,CD223,ENSMUSG00000030124,chr6,124904361,124911705,-
55,Lamp1,CD107a,CD107a,CD107a,ENSMUSG00000031447,chr8,13159135,13175338,+
56,Ly75,CD205,CD205,CD205,ENSMUSG00000026980,chr2,60292103,60383303,-
57,Mgl2,CD301b,CD301b,CD301b,ENSMUSG00000040950,chr11,70130329,70137550,+
58,Mog,MOG,MOG,MOG,ENSMUSG00000076439,chr17,37010743,37023398,-
59,Ms4a1,CD20,CD20,CD20,ENSMUSG00000024673,chr19,11249675,11266241,-
60,Nt5e,CD73,CD73,CD73,ENSMUSG00000032420,chr9,88327197,88372092,+
61,Olig2,OLIGO2,OLIGO2,OLIGO2,ENSMUSG00000039830,chr16,91225550,91228677,+
62,Pecam1,CD31,CD31,CD31,ENSMUSG00000020717,chr11,106654217,106750628,-
63,Ptprc,CD45,CD45,CD45,ENSMUSG00000026395,chr1,138062861,138175708,-
64,Pvr,CD155,CD155,CD155,ENSMUSG00000040511,chr7,19903578,19921160,-
65,Rbfox3,NeuN,NeuN,NeuN,ENSMUSG00000025576,chr11,118489762,118911597,-
66,Sdc1,CD138,CD138,CD138,ENSMUSG00000020592,chr12,8771323,8793715,+
67,Sell,CD62L,CD62L,CD62L,ENSMUSG00000026581,chr1,164061982,164084181,+
68,Siglec1,CD169,CD169,CD169,ENSMUSG00000027322,chr2,131069220,131086765,-
69,Siglece,CD170,CD170,CD170,ENSMUSG00000030474,chr7,43651070,43660161,-
70,Sirpa,CD172a,CD172a,CD172a,ENSMUSG00000037902,chr2,129592835,129632228,+
71,Slamf1,CD150,CD150,CD150,ENSMUSG00000015316,chr1,171767127,171801184,+
72,Slamf6,Ly108,Ly108,Ly108,ENSMUSG00000015314,chr1,171917515,171953170,+
73,Spn,CD43,CD43,CD43,ENSMUSG00000051457,chr7,127132232,127137823,-
74,Tbr1,TBR1,TBR1,TBR1,ENSMUSG00000035033,chr2,61802930,61814114,+
75,Tfrc,CD71,CD71,CD71,ENSMUSG00000022797,chr16,32608920,32632794,+
76,Tnfrsf1b,CD120b,CD120b,CD120b,ENSMUSG00000028599,chr4,145213463,145246870,-
77,Tnfrsf4,CD134,CD134,CD134,ENSMUSG00000029075,chr4,156013843,156016612,+
78,Tnfrsf9,CD137,CD137,CD137,ENSMUSG00000028965,chr4,150914562,150946102,+
79,Vcam1,CD106,CD106,CD106,ENSMUSG00000027962,chr3,116110020,116129688,-
