dataset,method,seed,endpoint,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,processed_shapes,raw_shapes,source_sha256,status,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib
D1,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,f3574197607f4cc6f6556accf348f4979ff5fd9eace0d160e45781f92dd40fb0,fdff43217bf28c37e16c4e7e2e4a8a20f333b9e3516e809b5e95c736e173f3b2,,,,NIGHT13B_RECOMPUTED,,0.18562074381415797,0.2751369411247341,0.27042850532865037,0.35280888115403214,0.28556735911231446,0.2751369411247341,0.45709088436060386,0.5279270435817003,,,,
tonsil_s1,RNA_ONLY,0,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,c3764919f7b98e45d13b88bc27d1818cb4e9dbee8404a6e76bc9e6c372602ad8,dc19f86d392b5831525560529abb3d1cfc9a97e4b270a468c1903e0e67891d27,,,,NIGHT13B_RECOMPUTED,,0.1382035659762132,0.2684011728581763,0.2677263893283299,0.46259522004580284,0.28699853360903876,0.26840117285817633,0.6086780703243835,0.38940086358840387,,,,
tonsil_s1,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,bdad67f12125a0b6fcc279b30b5a7db70e25df25f66734aca4c8feaf81c75a7a,869d0a1e031d466d8bd15eafbfe60f0429c341f3a9988d117a3c0d1687925734,,,,NIGHT13B_RECOMPUTED,,0.1249450017419911,0.23886780678988243,0.23820152860319968,0.4575251859352943,0.2421564743913891,0.23886780678988248,0.539214126641365,0.4273809064625572,,,,
tonsil_s2,RNA_ONLY,0,COMMON_KMEANS_SEED0,4,4519,4518,a5e06f660ef432696b1e4ee3573d3b7b4843ced9a4e0505485f5ec008f3a39c5,8f25b7e38bf00e4e21b97c1621008181dbf27bf1fd644675f328ce15904c1240,1bf4ae265c370d29b642a7ece2c7430e96b51ae3a17c326e4f883fa6bd48b6b3,,,,NIGHT13B_RECOMPUTED,,0.1817289187343056,0.26201392999773837,0.2614177195075248,0.4473217235915036,0.29674959800265027,0.26201392999773837,0.615335294617794,0.3844036325039095,,,,
tonsil_s2,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,4,4519,4518,a5e06f660ef432696b1e4ee3573d3b7b4843ced9a4e0505485f5ec008f3a39c5,b879adcb1c0bd3dec3ac3b448802fa2ca9a5b64b722b3e4d0b13f06f3980bd51,8bbd13a96fe0d26ca0c4f4605e89782b7304de41856c8f773ce40d189e639822,,,,NIGHT13B_RECOMPUTED,,0.1470067360115746,0.20603766575784987,0.20537660421843454,0.4634093544732194,0.20572832764184473,0.20603766575784987,0.5464892268663469,0.41971232945901116,,,,
tonsil_s3,RNA_ONLY,0,COMMON_KMEANS_SEED0,4,4521,4460,8c1a0339e72f5fa6067f7fe9135ea490b5574a198212ced689c50910935e535b,5e9ebf7ec1847e9957658f63accec08e8c349a2244766f24c8cd6dbdb44125a9,49c060cb589d23302687d33204953317f9cb72d5727f77824d33e3fee0d0254b,,,,NIGHT13B_RECOMPUTED,,0.14804222957742927,0.21419107644562843,0.2135425381119946,0.42970166132333554,0.24537384975736587,0.21419107644562843,0.6192812750014437,0.38088212046609826,,,,
tonsil_s3,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,4,4521,4460,8c1a0339e72f5fa6067f7fe9135ea490b5574a198212ced689c50910935e535b,988cba5b202a005b47fe868f3dcc2a0dc5b109ce9fe94ee358be28df61afd85e,febe00a9230dc54f32ea10f881e35622afa52e4afcbcd2a2e2549141f231e402,,,,NIGHT13B_RECOMPUTED,,0.115544553759393,0.21484231275372268,0.2141584359161121,0.4332763035318831,0.23348619787889804,0.21484231275372268,0.6882434053278973,0.3116892759632684,,,,
P22,RNA_ONLY,0,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,41e4b427d210312e05400ed42b2115ce2b0751b60517c6f0c6a7d4073e8db903,675cceedc764f2203ebb94533ba9143c8c01083854fdaa4c1c2ca14413c08b3d,,,,NIGHT13B_RECOMPUTED,,0.2956434497322472,0.39653267821447763,0.39550042483168524,0.39682649408235954,0.406630534518101,0.39653267821447763,0.49878996912851137,0.5028883996297167,,,,
P22,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,af59291b72bbad8386cc197788bf0a0719619ebb08679a5e42f6f1c85c5bff3c,9ede21ced5d062bcdb4a9a9af82939afeae830111666004d57f53153ece60c96,,,,NIGHT13B_RECOMPUTED,,0.1274797236355374,0.2908746262034085,0.2895128142880105,0.30337375407893974,0.26889897181442,0.29087462620340854,0.44387404002399883,0.56082885023924,,,,
MISAR_E15_5_S1,RNA_ONLY,0,COMMON_KMEANS_SEED0,7,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,022abcba812083acf7e48f830502cb0808eafa2507c664e05112d6860911b0b2,105a39efc18cdffdcfb79c23f79220e3ca5d2e0efb72a491b981e63d7e955310,,,,NIGHT13B_RECOMPUTED,,0.22185316897042318,0.32122093905137666,0.31723001913038135,0.3981395443087206,0.31154049290064034,0.3212209390513766,0.5440954554939303,0.4704710061424079,,,,
MISAR_E15_5_S1,SECOND_MODALITY_ONLY,0,COMMON_KMEANS_SEED0,7,1949,1949,9f0514cee55d307a0ff81d44ffffc2da742dbe2d02b849576b7ef5903743dd1b,738ac625748c9ba3302507d526a35552c294bb1a78545c7dee25e00b9591fac0,b885de1dd0056421b68729e337398e6cd8ddb7c8811aba558601ef08e32c6966,,,,NIGHT13B_RECOMPUTED,,0.09005137259079858,0.22422839079589643,0.21974426117712753,0.2920372782694286,0.22044423338529237,0.2242283907958965,0.5616647402419582,0.45172312768563044,,,,
A1,C00_G04_COMMON_BRIDGE,0,COMMON_KMEANS_SEED0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,8054ce14b45b689c259cfd1b66dce6dd6a6acb4ee896f2e83f4636d9286ec39c,5868f10e4dce42054184e7124407b97351206b61d645564edd736544c260da64,,,,LOCKED_REUSE,,0.22355120102010495,0.3787668593149022,0.3749158053665216,0.36097398182182805,0.4436681619351871,0.37876685931490217,0.49738988883805774,0.5018451218177982,,,,
A1,C00_G04_COMMON_BRIDGE,1,COMMON_KMEANS_SEED0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4260b1480cc811516fcbad28dcfedbefbe733ea59113498586b9d330353645ae,f254aa76402da4d2e8c030737f555825b4dc5640bbe46508de7c9c86240601da,,,,LOCKED_REUSE,,0.23858487868135345,0.3797632788373927,0.37588770949936345,0.3757160130935591,0.4412298468350761,0.37976327883739264,0.5009145562360668,0.4977520432631561,,,,
A1,C00_G04_COMMON_BRIDGE,2,COMMON_KMEANS_SEED0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b5b57306b35cfab8b3d7edebee38520c3820e8410a8a41ad0fd9e0dc26c40638,9425be35de7fd8426db8dd130f67763898aa3318b059fb09d99816524340f0a9,,,,LOCKED_REUSE,,0.23919680841767518,0.3735557793030572,0.36963070664711545,0.3767005605781797,0.43283405695128485,0.3735557793030572,0.49823308473899547,0.5001514566325135,,,,
A1,C00_G04_COMMON_BRIDGE,3,COMMON_KMEANS_SEED0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,4cb3b1ba2ccd9b1c19a0f3c12cea6611ce7ec44db198485971a04db4240229ef,5339414642f713b6003093d4858770e13fbc59f8280b046426c21eacda327f70,,,,LOCKED_REUSE,,0.22280590450953225,0.3800712541050502,0.37622540083866957,0.36040575631792887,0.4448694938347666,0.3800712541050502,0.5257133692055755,0.47346223530457615,,,,
A1,C00_G04_COMMON_BRIDGE,4,COMMON_KMEANS_SEED0,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,75bf01a97b0817b6e60b82e399a4515c24b15ab7e0adb9500be45d3b7fcefe8b,4bf0bce234cdd1655ffe4ce9e998b69b7c9edc8837fc7472bb2a0eee3fb15659,,,,LOCKED_REUSE,,0.22816274674197257,0.36789880262008534,0.3639465517936615,0.36640765134069025,0.4271627861450747,0.3678988026200854,0.5065884101836895,0.49223590784377746,,,,
D1,C00_G04_COMMON_BRIDGE,0,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,97bd07513360fc9e643e172b5ea44c6b964ff29dcdfa22a0249d3d5ab557f02f,4ab7cfbd4fb925f4ec6e891f587b6d137e756cbde4880a9dc3e46fb027ba731a,,,,LOCKED_REUSE,,0.20231305459515514,0.3442119896125427,0.34004941951948375,0.3393071764197845,0.3952404166868199,0.3442119896125427,0.5711464422666385,0.42807158658521277,,,,
D1,C00_G04_COMMON_BRIDGE,1,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,e590e58930edca354eb0fb69e1008d1b7f6c40266bfc3bab04539e151ce19372,47b9e219b0837734b626c5b2d9b063a4b42b05a70f80151dcf1181504264c8bc,,,,LOCKED_REUSE,,0.19435263991747267,0.3392240009006064,0.3350354985611731,0.33173870095961405,0.3899810447885053,0.33922400090060634,0.5464119124084953,0.4530612550566643,,,,
D1,C00_G04_COMMON_BRIDGE,2,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,73d200316d171da80a1affd3846589a3d0902a76f79938085eccf6e1c5cd0a47,1938a61a3422a99cf734b6c3d89de90fc7d76070f0971ad6213cbb5fe4b9c5fd,,,,LOCKED_REUSE,,0.1997974747853717,0.34761468384101757,0.3434754647135672,0.3368305172329759,0.39922205672887223,0.3476146838410175,0.5514555159350176,0.4484243971047359,,,,
D1,C00_G04_COMMON_BRIDGE,3,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,27f96a4ba1c6858adaf3b8b719440994d5fe7240bd7500b6096afc6846036fba,eb5e6ec2167611e3392519a2cb8958fa939597840b08a31b80ed153d87b0ce5e,,,,LOCKED_REUSE,,0.20600994769320105,0.3596141601889141,0.3555484877631492,0.3426064235989967,0.412757979887987,0.35961416018891407,0.5382706329116956,0.46184685905137624,,,,
D1,C00_G04_COMMON_BRIDGE,4,COMMON_KMEANS_SEED0,10,3359,3359,ee9d54caeaf34a3d0f4029b7eb1b5708652a27d588c7147f14bbf6b5ea29df15,b7966afef9f876588173926783dfaad9cb6443a47b73dd2fceb1553fd3332f20,6d05b953f54ed5388013de60f888caa0c21837e423d5aa295dce6fb3156941c3,,,,LOCKED_REUSE,,0.19570336147320172,0.34548872636417083,0.341343234553633,0.3328865471645037,0.39754502275026027,0.34548872636417083,0.5484098590688125,0.4515242899558958,,,,
tonsil_s1,C00_G04_COMMON_BRIDGE,0,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,23cdff5a0563441bf5bacdbcc16248641eebaf0b6c10653af5383505d8a3e2f0,11e454f04f09d675f0ebf549b8ffd0d7a254efb4bd76ba8dc390dbc6b38c3e11,,,,LOCKED_REUSE,,0.13586435309204414,0.24110902802623024,0.2404585939840149,0.42405858861815066,0.2769342500619165,0.24110902802623027,0.6954434453074408,0.30498636234470244,,,,
tonsil_s1,C00_G04_COMMON_BRIDGE,1,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,e7c562da0d33e55b0b529d343f20a3dcf4cf661f81b5b4efc8a9e4f49807f5a0,a4337139215277b53a4f2f60130215b134f457cefeea37742e30f94310050f01,,,,LOCKED_REUSE,,0.13406752682823148,0.24543597635068434,0.2447885764196751,0.4233878177775984,0.28161462760143136,0.24543597635068432,0.7004356821620146,0.29988955227030356,,,,
tonsil_s1,C00_G04_COMMON_BRIDGE,2,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,0513ac2d3e39b1b803c77c6fb606b92cf17d7bb70be8bce8d9eb852ca3c6d06d,f841efeda81a30bcaed8c0e61ea0b83b4bd13b970151c5fd25836d3441c4c256,,,,LOCKED_REUSE,,0.1364593275401926,0.24456168245032145,0.24391379327967946,0.42484797644648753,0.2807227215519907,0.24456168245032148,0.7007991967687194,0.2995738560128671,,,,
tonsil_s1,C00_G04_COMMON_BRIDGE,3,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,ca2710da1d33eb70043f1049b4aeac53ed8c58e4d28567f6fdbbfeb84685fccb,68ab0b8605b2dec46815d2645415c5ede94566e670540106fda8f57acde8494e,,,,LOCKED_REUSE,,0.13271877019060227,0.24056401939989128,0.23991246132417185,0.4224375743589466,0.2760334413211009,0.24056401939989128,0.6983386549238725,0.3021391519738916,,,,
tonsil_s1,C00_G04_COMMON_BRIDGE,4,COMMON_KMEANS_SEED0,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,ad413ae64841c11b3f8ff972dca1a54e2b9ca28f1e7ac8e7e2bbe8fe2b1b6aa2,d5cb6d8e940531b989ec0d78551ce087afb680d90aa85663b965ed2d8baa1a87,,,,LOCKED_REUSE,,0.13974097729655605,0.2385616001283625,0.23790906448244062,0.42669293304730277,0.2740424642860998,0.2385616001283625,0.696767890711397,0.30365316311920887,,,,
P22,F00_R02_COMMON_BRIDGE,0,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,f043c25d24bde049fac50eab213099df4a3eb39a396f803400f04954654e8377,86922c8b420757a0a26d9a616eabb3f240bd45c3652dac1264fb5e5ca6d72503,,,,LOCKED_REUSE,,0.4282948473346895,0.574687618852791,0.5739600199564381,0.5120608611533571,0.5886735092121791,0.574687618852791,0.810944786434786,0.1900491125923918,,,,
P22,F00_R02_COMMON_BRIDGE,1,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,19386dd209bad9da39d5f887fcb969667a864768abe8313d202512697ac6f053,9a9290d6f49fa94095286951e805903b36f55fcc85b8d2be85c2722a3373fecf,,,,LOCKED_REUSE,,0.42545887684782574,0.5695025411884105,0.568770163002121,0.5088989048802097,0.5864327031405216,0.5695025411884105,0.8021222270982744,0.19879693425655992,,,,
P22,F00_R02_COMMON_BRIDGE,2,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,07587d5a97cfdc4432d197afea82711bc9015482e05a5c7f6dad9f2a3ff9bc54,5f8edebe6f851ef6fed414a8584ef350d81838738dec7bebef52a0e9b2b3a337,,,,LOCKED_REUSE,,0.41496705749963597,0.5579741408589309,0.557218287124882,0.5005249602109938,0.5718247167357408,0.5579741408589309,0.8106377244297508,0.1906289218045764,,,,
P22,F00_R02_COMMON_BRIDGE,3,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,6bb5b9fed70b1ec0c27edbcf78637fd68c120492067b7163e47d4ae9f04d539b,e0ebfa817c8ad3d267b976a6ad90054699da7995c2b2bf02d95c30aaa1f2755a,,,,LOCKED_REUSE,,0.39574538861002223,0.5749666945988382,0.5742513590157001,0.48106788683598634,0.5983375196895947,0.5749666945988382,0.7892177931057504,0.21209575138693348,,,,
P22,F00_R02_COMMON_BRIDGE,4,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,b5239c1a57765a762f5c99760cc00e53701ec90f68f3235c93a241e124939eaa,3ee8c6f35377d9b09a4e8a5160a13d666b4802313f7387d6d0c44453c3857828,,,,LOCKED_REUSE,,0.39785229360800617,0.5869531036223213,0.5862557783503639,0.48332206051578397,0.6089761303330807,0.5869531036223213,0.8222327147777412,0.17920561500178567,,,,
P22,N02_HIER_ONLY_COMMON_BRIDGE,0,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,dc7169a290658ee679f048bb787dff758a3c81e824e13c3c3ad189076d33f6f0,1b55146118248db5db4d4e635a743f8850ac27de96b42775b05df03d3ec38cd9,,,,LOCKED_REUSE,,0.43867397278965836,0.5821811157354526,0.5814658062593373,0.5211922028254538,0.5959063131969685,0.5821811157354525,0.8218546257319318,0.1795864649674116,,,,
P22,N02_HIER_ONLY_COMMON_BRIDGE,1,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,71108cffc661db9a4e89e3990407d18c5c38572343d84821d38a766faab0996b,40294aa2b194b24032cfb00cbca8f97a9267f95aa715ca37d69a4bbf6c761d7f,,,,LOCKED_REUSE,,0.42500524359849673,0.5768052780032169,0.5760800823262748,0.5095657575923793,0.5899158659852208,0.5768052780032169,0.8268341425664009,0.17495154672266716,,,,
P22,N02_HIER_ONLY_COMMON_BRIDGE,2,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,29d65cac7a0e59f2b5574ff4df06954600de5f8b7bd64af1306421fd3b3497d8,63538ed40dd398e74c81a2f4b67a5669e7343e841ac705089df38bd725c26e78,,,,LOCKED_REUSE,,0.40484857772015165,0.5513529412071989,0.550585184048138,0.4919398735755937,0.5646429824437778,0.5513529412071989,0.8157348256413558,0.18463514312582613,,,,
P22,N02_HIER_ONLY_COMMON_BRIDGE,3,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,31e940687dfedc162ce41bc6e62aebd80669dfc731dda3fa797a4fc577ca29cd,5fa265f48dbe64c5ea16837b665e2585b66fe63da19134ffa6addca8fcd4a16b,,,,LOCKED_REUSE,,0.43122696048750736,0.5826091288841738,0.581894468769358,0.514775938515748,0.596274715637769,0.5826091288841738,0.8182521871052975,0.18322910451276425,,,,
P22,N02_HIER_ONLY_COMMON_BRIDGE,4,COMMON_KMEANS_SEED0,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,387d32efcad964037ed378335efdbb51aa88c937510055fdd80cec3f5a8081b2,4bf862e6f6ea5e272ddef8f3ae9075b4936e8ad8c71f343134bfd97f5418857f,,,,LOCKED_REUSE,,0.4015982332696058,0.5927417824867396,0.5920532361985953,0.4867802059646707,0.6141244859657388,0.5927417824867395,0.8330096671082168,0.1683230654735552,,,,
